"country","iso2","iso3","iso_numeric","g_whoregion","year","e_pop_num","e_inc_100k","e_inc_100k_lo","e_inc_100k_hi","e_inc_num","e_inc_num_lo","e_inc_num_hi","e_tbhiv_prct","e_tbhiv_prct_lo","e_tbhiv_prct_hi","e_inc_tbhiv_100k","e_inc_tbhiv_100k_lo","e_inc_tbhiv_100k_hi","e_inc_tbhiv_num","e_inc_tbhiv_num_lo","e_inc_tbhiv_num_hi","e_mort_exc_tbhiv_100k","e_mort_exc_tbhiv_100k_lo","e_mort_exc_tbhiv_100k_hi","e_mort_exc_tbhiv_num","e_mort_exc_tbhiv_num_lo","e_mort_exc_tbhiv_num_hi","e_mort_tbhiv_100k","e_mort_tbhiv_100k_lo","e_mort_tbhiv_100k_hi","e_mort_tbhiv_num","e_mort_tbhiv_num_lo","e_mort_tbhiv_num_hi","e_mort_100k","e_mort_100k_lo","e_mort_100k_hi","e_mort_num","e_mort_num_lo","e_mort_num_hi","cfr","cfr_lo","cfr_hi","cfr_pct","cfr_pct_lo","cfr_pct_hi","c_newinc_100k","c_cdr","c_cdr_lo","c_cdr_hi"
"Zambia","ZM","ZMB","894","AFR",2010,13965587,495,250,822,69000,35000,115000,65,,,323,155,551,45000,22000,77000,29,17,43,4000,2400,6100,110,56,180,15000,7900,25000,138,82,209,19000,11000,29000,0.3,0.12,0.53,30,12,53,316,64,38,130
"Zambia","ZM","ZMB","894","AFR",2011,14437801,475,247,776,69000,36000,112000,64,,,305,151,512,44000,22000,74000,29,17,43,4200,2500,6300,104,55,169,15000,7900,24000,133,80,198,19000,12000,29000,0.3,0.12,0.52,30,12,52,302,63,39,120
"Zambia","ZM","ZMB","894","AFR",2012,14913621,456,245,732,68000,36000,109000,61,,,280,143,463,42000,21000,69000,32,19,49,4800,2900,7200,103,55,166,15000,8200,25000,135,84,199,20000,12000,30000,0.32,0.14,0.54,32,14,54,273,60,37,110
"Zambia","ZM","ZMB","894","AFR",2013,15398993,437,242,690,67000,37000,106000,62,,,270,142,438,42000,22000,68000,30,18,46,4700,2800,7100,98,54,156,15000,8200,24000,128,81,187,20000,12000,29000,0.31,0.14,0.52,31,14,52,264,60,38,110
"Zambia","ZM","ZMB","894","AFR",2014,15895310,406,236,623,65000,37000,99000,61,,,247,136,392,39000,22000,62000,30,18,45,4700,2800,7200,93,52,145,15000,8300,23000,123,79,176,19000,13000,28000,0.32,0.15,0.52,32,15,52,239,59,38,100
"Zambia","ZM","ZMB","894","AFR",2015,16399090,391,232,591,64000,38000,97000,60,,,234,132,366,38000,22000,60000,30,18,46,5000,2900,7500,90,52,139,15000,8500,23000,120,79,171,20000,13000,28000,0.32,0.16,0.52,32,16,52,224,57,38,97
"Zambia","ZM","ZMB","894","AFR",2016,16914419,376,229,557,64000,39000,94000,58,,,217,125,334,37000,21000,56000,29,17,43,4800,2900,7300,79,46,120,13000,7800,20000,108,72,150,18000,12000,25000,0.3,0.15,0.48,30,15,48,227,60,41,99
"Zambia","ZM","ZMB","894","AFR",2017,17441317,361,225,528,63000,39000,92000,59,,,212,125,322,37000,22000,56000,29,17,43,5000,3000,7500,82,48,123,14000,8500,22000,110,74,154,19000,13000,27000,0.32,0.16,0.5,32,16,50,206,57,39,92
"Zambia","ZM","ZMB","894","AFR",2018,17973566,346,221,500,62000,40000,90000,59,,,205,123,308,37000,22000,55000,28,16,42,5000,3000,7500,80,48,120,14000,8700,22000,108,73,150,19000,13000,27000,0.33,0.17,0.5,33,17,50,195,56,39,88
"Zambia","ZM","ZMB","894","AFR",2019,18513846,333,216,474,62000,40000,88000,46,,,154,94,229,29000,17000,42000,33,20,50,6200,3700,9300,58,35,86,11000,6600,16000,91,64,123,17000,12000,23000,0.28,0.16,0.43,28,16,43,195,59,41,90
"Zambia","ZM","ZMB","894","AFR",2020,19059399,319,208,455,61000,40000,87000,39,,,125,77,186,24000,15000,35000,32,19,49,6200,3700,9300,41,25,60,7800,4800,12000,73,52,98,14000,10000,19000,0.24,0.13,0.36,24,13,36,210,66,46,100
"Zambia","ZM","ZMB","894","AFR",2021,19603610,307,195,443,60000,38000,87000,34,,,104,62,155,20000,12000,30000,20,11,31,3900,2200,6000,21,13,32,4200,2500,6300,41,28,56,8000,5600,11000,0.14,0.08,0.22,14,8,22,255,83,58,130
"Zambia","ZM","ZMB","894","AFR",2022,20152946,295,184,431,59000,37000,87000,32,,,95,56,144,19000,11000,29000,13,6.4,22,2600,1300,4500,14,7.8,23,2900,1600,4600,27,18,39,5500,3500,7900,0.1,0.05,0.16,10,5,16,269,91,62,150
"Zambia","ZM","ZMB","894","AFR",2023,20723959,283,173,420,59000,36000,87000,32,,,91,52,140,19000,11000,29000,11,5.2,20,2400,1100,4200,13,6.7,21,2600,1400,4300,24,15,36,5000,3100,7400,0.09,0.04,0.15,9,4,15,262,93,62,150
"Zambia","ZM","ZMB","894","AFR",2024,21314958,272,166,403,58000,35000,86000,32,,,88,50,135,19000,11000,29000,19,11,31,4100,2300,6500,19,11,29,4100,2400,6200,39,27,53,8200,5600,11000,0.15,0.08,0.24,15,8,24,221,81,55,130
